"ex# (Niches: 4NCase#. Object#
Tower cases: 4NCase#. Shelf#.Object#) ",accession#,object name,"h"" x w"" d""",mount,misc. info,,,
4N09.6.77,1953.343,Figured flask,6 x 4 x 2 in.,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N09.6.78,INV.14411,Figured flask,9 1/2 x 5 x 4 1/2 in.,NONE,,,,
4N09.6.79,1957.170,Creamer,5 1/2 x 5 1/8 x 3 3/8 in.,NONE,,,,
4N09.6.80,1953.367,Figured flask,7 3/8 x 5 1/8 x 2 in.,NONE,,,,
4N09.6.81,1947.447,Oil lamp,13 x 5 1/2 in.,NONE,,,,
4N09.6.82,1952.216,Oil lamp,9 1/4 x 4 in.,NONE,,,,
4N09.6.83,1952.229,Vase,7 1/2 x 3 3/4 in.,NONE,,,,
4N09.6.84,1952.239,Vase,6 3/4 x 4 in.,NONE,,,,
4N09.6.85,1948.537a,Carafe,8 x 4 1/2 in.,NONE,,,,
4N09.6.86,1942.503,Pocket bottle,4 5/8 x 3 1/2 x 2 1/2 in.,NONE,,,,
4N09.6.87,1948.537b,Pocket bottle,4 x 2 3/4 in.,NONE,,,,
4N10. INFRASTRUCTURE,,,,,,,,
4N10.1,2013.32,Bank Teller Cage,56 1/2 × 46 × 3 1/2 in.,STEEL COVERED WITH PAINTED SHRINK TUBING,"MEZZ, RISER",,,
4N10.2,2001.106,Gargoyle,20 x 18 x 50 in.,WALL MOUNT,NONE,,,
4N10.3,1956.31,Section of water pipe,2 5/8 x 11 x 11 in.,NONE,PEDESTAL,,,
4N10.4,INV.1322,"Model for ""EI""","Model: 21 x 46 1/2 x 21 1/2 in.
Base: 3/4 x 52 3/4 x 28 3/4 in.",NONE,STEEL PEDESTAL,,,
4N10.5,1947.9,Painting: Rush Hour,32 x 44 in.,HANG ON WIRE,NONE,,,
4N10.6,1923.110,Model for water tower,32 1/2 x 10 x 10 in.,AW,OCTAGONAL PEDESTAL,,,
4N10.7,2010.26.3,Lincoln Tunnel wind-up toy,3 1/4 x 24 x 3 1/2 in.,NONE,PEDESTAL,,,
4N10.8,2008.8.2,Parking meter,20 x 7 1/2 x 7 in.,NONE,PEDESTAL,,,
4N10.9,2004.24,Wastebasket,28 1/4 x 22 1/4 in.,NONE,CIRCULAR RISER,,,
4N10.10,,Subway signal,31 x 10 x 8 in.,NONE,POST - 150 LBS,,,
4N11. RECREATION,,,,,,,,
4N11.1,1995.2,Gambling Wheel ,11 3/4 × 66 1/4 in,NONE,"MEZZ, CLEAT STAND",,,
4N11.2,1948.58ab,Ice skates (pair),4 x 11 7/8 x 2 1/2 in.,WALL MOUNT,NONE,,,
4N11.3,1949.3ab,Ice skates (pair),5 x 12 x 2 3/4 in.,WALL MOUNT,NONE,,,
4N11.4,loan,Bicycle,70 x 43 x 20 in.,BIKE STAND,LOAN,,,
4N11.5,reproduction,Costume,,MANNEQUIN,REPRO,,,
4N11.6,purchase/loan,Baseball glove,11 x 10 x 4.5 in.,WALL MOUNT,PURCHASE/LOAN,,,
4N11.7,purchase/loan,Bat,42 x 3 in.,WALL MOUNT,PURCHASE/LOAN,,,
4N11.8,purchase/loan,Baseball,D: 3 in.,WALL MOUNT,PURCHASE/LOAN,,,
4N11.9,purchase/loan,Pennant,30 x 12 in.,WALL MOUNT,PURCHASE/LOAN,,,
4N11.10,purchase/loan,Sled,11 x 37 x 17 in.,WALL MOUNT,PURCHASE/LOAN,,,
4N12. CERAMICS 2 ,,,,,,,,
MZ,,,,,,,,
4N12.1.6,1992.5b,Cake shell,2 3/8 x 8 3/8 x 9 1/2 in.,MOUNT TO HOLD PLATTER VERTICAL,SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS,,,
4N12.1.7,TR2016.47.1ab,Soup tureen and lid,Overall: 12 1/4 x 17 x 8 1/2 in.,NONE,,,,
4N12.1.8,TR2016.47.2,Fish platter,26 1/2 x 12,MOUNT TO HOLD PLATTER VERTICAL,,,,
4N12.1.9,TR2016.47.8,Cake shell,2 1/4 x 8 1/4 x 10 1/4 in.,MOUNT TO HOLD PLATTER VERTICAL,,,,
4N12.1.10,TR2016.47.19ab,Oval vegetable dish with cover ,Overall: 7 1/2 x 14 x 8 3/4 in.,NONE,,,,
4N12.1.11,TR2016.47.86,Gravy boat,6 1/4 x 9 3/4 x 3 3/4 in.,NONE,,,,
4N12.1.12,TR2016.47.87,Sauce boat,4 1/2 x 10 x 6 in.,NONE,,,,
4N12.2.1,1985.7,Plate,1 x 10 in. ,ACRYLIC PLATE STANDS,,,,
4N12.2.2,1985.13,Plate,1 x 10 in. ,,,,,
4N12.2.3,1985.15,Platter,3 x 18 1/2 x 16 in. ,MOUNT TO HOLD PLATTER VERTICAL,,,,
4N12.2.4,1985.1ab,Tureen and cover,11 1/2 x 15 x 9 1/2 in. ,NONE,,,,
4N12.3.5,X.171,Giant Pitcher,31 x 27 x 20 in. ,NONE,,,,
LC-TOP (Export Porcelain),,,,,,,,
4N12.4.6,1927.18ab,Tea bowl and saucer,Overall (a) : 2 x 3 1/2 in. Overall (b) : 1 1/4 x 5 1/2 in.,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,.
4N12.4.7,1927.25ab,Milk jug and cover,5 3/4 x 4 3/4 x 3 1/2 in.,ACRYLIC PLATE STAND,,,,
4N12.4.8,1940.268,Soup plate,1 1/2 x 9 3/4 in.,ACRYLIC PLATE STAND,,,,
4N12.4.9,1952.53,Bowl,2 3/4 x 5 1/2 in.,NONE,,,,
4N12.4.10,1952.111ab,Coffeepot and lid,8 3/4 x 6 x 5 1/2 in.,NONE,,,,
4N12.4.11,1952.113,Plate,1 3/8 x 7 3/4 in.,ACRYLIC PLATE STAND,,,,
4N12.4.12,1952.116ab,Covered pitcher,11 1/2 x 10 x 7 in.,NONE,,,,
4N12.4.13,1952.118d-e,Tea caddy with cover,5 x 3 1/4 x 1 3/8 in.,NONE,,,,
4N12.4.14,1952.123ab,Cup and spoon tray,2 1/2 x 3 1/4 x 2 1/4 in.,NONE,,,,
4N12.4.15,1956.141ab,Covered pitcher,11 x 9 1/2 x 7 in.,NONE,,,,
4N12.4.16,1956.141f,Creamer,5 1/2 x 6 1/2 x 3 3/8 in.,NONE,,,,
4N12.4.17,1969.18b,Sugar bowl with lid,5 3/4 x 6 x 3 7/8 in.,NONE,,,,
4N12.4.18,1969.18h7,Saucer from partial tea set,1 1/2 x 5 3/4 in.,ACRYLIC PLATE STAND,,,,
4N12.4.19,1972.11a,Chocolate pot,8 3/4 x 7 1/2 x 8 in.,NONE,,,,
4N12.4.20,1972.11b,Teapot,5 3/4 x 9 3/4 x 5 3/8 in.,NONE,,,,
4N12.4.21,1984.38ab,Chestnut bowl and cover,6 1/4 x 9 1/2 x 7 in.,NONE,,,,
4N12.4.22,1985.2a-c,"Tureen, cover and stand",Overall(Tureen and Cover) : 5 7/8 x 7 3/8 x 4 7/8 in.  Overall(Stand) : 3/4 x 8 x 6 1/8 in.,NONE,,,,
4N12.4.23,2015.24.1ab,Platter with strainer,15 1/4 x 12 1/2 x 2 in.,WALL MOUNT,,,,
4N12.4.24,1978.44a,De Witt Clinton soup plate,1 1/2 x 8 3/4 in.,ACRYLIC PLATE STAND,,,,
4N12.4.25,1978.44b,De Witt Clinton soup plate,1 1/2 x 8 3/4 in.,ACRYLIC PLATE STAND,,,,
LC-MIDDLE ENGLISH (Patriotic Creamware),,,,,,,,
4N12.5.26,INV.13057,Pitcher creamware,7 1/4 x 6 1/2 x 5 in.,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N12.5.27,INV.13053,Commemorative mug creamware,6 x 6 x 5 in.,NONE,,,,
4N12.5.28,1961.313,Pitcher creamware,4 x 5 1/2 x 3 3/4 in.,NONE,,,,
4N12.5.29,1961.302,Pitcher creamware,8 x 9 x 7 in.,NONE,,,,
4N12.5.30,1953.800,Pitcher creamware,8 1/2 x 8 3/4 x 7 in.,NONE,,,,
4N12.5.31,1952.152,Pitcher creamware,14 5/8 x 13 x 9 1/2 in.,NONE,,,,
4N12.5.32,1952.146,Pitcher creamware,7 1/4 x 8 3/8 x 6 3/4 in.,NONE,,,,
4N12.5.33,1952.144,Plate creamware,1 x 9 7/8in.,WALL MOUNT,,,,
4N12.5.34,1952.143,Pitcher creamware,9 1/8 x 9 x 7 1/4 in.,NONE,,,,
4N12.5.35,1952.142,Pitcher creamware,8 1/2 x 9 3/4 x 7 in.,NONE,,,,
4N12.5.36,1952.140,Plate creamware,7/8 x 10 1/8 in.,WALL MOUNT,,,,
4N12.5.37,1952.131,Mug creamware,6 1/8 x 5 3/4 x 4 1/8 in.,NONE,,,,
4N12.5.38,1947.481,Pitcher creamware,9 1/8 x 9 x 6 1/4 in.,NONE,,,,
4N12.5.39,1945.375,Pitcher creamware,4 1/4 x 5 1/2 x 4 in.,NONE,,,,
4N12.5.40,1924.62,Figurine of George Washington,14 1/4 x 6 x 5 in.,NONE,,,,
4N12.5.41,1924.60,Figurine of Ben Franklin,15 1/2 x 7 x 4 1/4 in.,NONE,,,,
LC-BOTTOM (New York State Stoneware),,,,,,,,
4N12.6.42,1937.573,Flask,9 1/2 x 4 1/2 x 3 in.,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N12.6.43,2007.8,Pot,Overall : 10 5/8 x  9 dia. in,NONE,,,,
4N12.6.44,1942.583,Crock,13 x 13 in.,NONE,,,,
4N12.6.45,1945.459,Jug,14 x 9 1/2 in.,NONE,,,,
4N12.6.46,1937.790,Jug,16 x 9 1/2 in.,NONE,,,,
4N12.6.47,1929.130,Jug,16 1/2 x 11 3/4 in.,NONE,,,,
4N12.6.48,1937.819,Jar,8 1/2 x 9 in.,NONE,,,,
4N12.6.49,1927.76,Jug,12 x 9 in.,NONE,,,,
4N12.6.50,1928.60,Jug,8 3/4 x 5 1/2 in.,NONE,,,,
4N13. FIRE ,,,,,,,,
4N13.1,1937.328,Harry Howard Statue,100 x 66 x 44 in,NONE,MEZZ,,,
4N13.2,1936.418,Ball from the steeple of the Garden Street Church,8 x 7 3/4 in.,NONE,PEDESTAL,,,
4N13.3,1980.53,Calyo Great Fire,,NONE,BACKGROUND REPRO,,,
4N13.4,1980.54,Calyo Great Fire (Day Time),,NONE,BACKGROUND REPRO,,,
4N13.5,1925.87a-p,Model of hook and ladder,11 3/4 x 53 x 8 1/2 in.,NONE,RISER,,,
4N13.6,1925.90a-h,Model of horse-drawn hose carriage,7 3/4 x 8 x 14 1/2 in.,NONE,WALL SHELF,,,
4N13.7,INV.8021,Fire Horn,18 3/4 x 6 3/4 in.,WALL MOUNT,NONE,,,
4N13.8,1938.5,Watchman's rattle,7 3/4 x 8 1/4 x 2 in.,WALL MOUNT,NONE,,,
4N13.9,1925.30ab,Model of steam fire engine,11 1/2 x 18 x 7 1/2 in.,NONE,WALL SHELF,,,
4N13.10,1937.1632,Fire condenser,32 1/2 x 30 3/4 x 14 1/2 in.,NONE,RISER,,,
4N13.11,1948.401,Fire helmet,8 1/4 x 13 1/4 x 15 in.,SHELF MOUNT,NONE,,,
4N13.12,INV.136,Leather bucket,12 1/4 x 10 x 9 in.,SHELF MOUNT,NONE,,,
4N13.13,INV.9239,Fire helmet,7 x 10 1/2 x 11 1/2 in.,NONE,PEDESTAL,,,
4N13.14,INV.8017,Fire trumpet,19 3/4 x 8 in.,POST,NONE,,,
4N13.15,1948.118,Fire bucket,17 x 11 x 8 1/2 in.,SHELF MOUNT,NONE,,,
4N13.16,1957.128,Fire bucket,18 1/2 x 8 in.,SHELF MOUNT,NONE,,,
4N13.17,1925.50,Model of hand-pulled pumper,14 1/2 x 28 3/4 x 9 1/2 in.,NONE,RISER,,,
4N13.18,INV.8858,Fire Helmet,9 1/4 x 10 5/8 x 15 3/8,SHELF MOUNT,NONE,,,
4N14. 9/11,,,,,,,,
4N14.1,2016.33ab,"Graef ""10048""",72 x 12 x 12 in.,AW,"MEZZ, RISER",,,
4N14.2,2006.23.1-2,venetian blind,44 x 20 in.,HANG FROM CEILING,NONE,,,
4N14.3,TR2002.63.3,shrine (many objects),,NONE,RISER,,,
4N14.4,,Graphic (Photo Repro) Gradient to blue,,NONE,REPRO,,,
4N15. MILITARY (WORK IN PROGRESS),,,,,,,,
MZ,,,,,,,,
4N15.1.1,1944.120a,Drum,13 1/2 x 17 in.,NONE,CIRCULAR RISER,,,
4N15.1.2,1946.116,Musket,58 in.,RIFLE DISPLAY FIXTURE,NONE,,,
4N15.1.3,1960.57a,Musket,58 in.,,NONE,,,
4N15.1.4,1944.106,Rifle musket,55 3/4 in.,,NONE,,,
4N15.1.5,1951.411a,Rifle,48 7/8 in.,,NONE,,,
4N15.1.6,1953.109,Rifle,44 3/4 in.,,NONE,,,
4N15.1.7,1931.66ab,"Sword, scabbard and tassel",41 3/4 x 5 1/2 x 4 in.,,NONE,,,
4N15.1.8,1924.64ab,"Sword, scabbard and tassel",35 1/4 x 4 1/2 x 3 1/8 in.,,NONE,,,
LC,,,,,,,,
4N15.2.9,TR2015.21.3,WW2 Knife,"sheath:  13 x 2 in.  
knife: 11 1/2 x 2 1/8 in.",PIN MOUNT,PIN MOUNTED OR RESTING ON ANGLED STAND,,,
4N15.2.10,1948.143,Bugle,13 x 6 1/4 x 3 3/4 in.,WALL MOUNT,,,,
4N15.2.11,1953.166,Knapsack,12 3/4 x 15 1/2 in.,NONE,,,,
4N15.2.12,1954.199,Powder horn,3 1/4 x 4 3/4 x 12 1/4 in.,PIN MOUNT,,,,
4N15.2.13,1953.173,Cartridge box,7 3/4 x 8 3/4 in.,NONE,,,,
4N15.2.14,1936.692,Hat plate,7 x 6 x 1 5/8 in.,NONE,,,,
4N15.2.15,1933.241ab,Field mirror in case,5 3/8 x 3 3/8 in.,PIN MOUNT,,,,
4N15.2.16,1937.33,Dog tag,1/8 x 1 3/8 in.,PIN MOUNT,,,,
4N15.2.17,1946.192M,4 Dog tags,1/4 x 1 1/8 x 15 3/8 in.,PIN MOUNT,,,,
4N15.2.18,INV.6419,Cup,2 3/8 x 4 1/2 x 3 1/2 in.,PIN MOUNT,,,,
4N15.2.19,1934.153,Canteen,6 3/4 x 5 1/2 in.,NONE,,,,
4N15.2.20,1923.105,Canteen,9 x 7 1/4 in.,NONE,,,,
4N15.2.21,1945.340ab,Canteen with cup,7 x 5 1/2 in.,NONE,,,,
4N15.2.22,1941.337,Flashlight,3 3/4 x 4 3/4 x 1 3/4 in.,PIN MOUNT,,,,
4N15.2.23,1951.513,Bugle,16 1/4 x 5 1/2 x 4 3/8 in.,WALL MOUNT,,,,
4N15.2.24,1933.24,Vehicle plate,6 x 9 x 1/8 in.,ACRYLIC PLATE STAND,,,,
4N15.2.25,INV.8654,Belt buckle,2 x 2 3/4 x 1/8 in.,PIN MOUNT,,,,
4N15.2.26,1931.43,Gorget,3/4 x 5 1/8 x 4 1/8 in.,PIN MOUNT,,,,
4N15.2.27,1950.83,Belt plate,1 7/8 x 3 1/2 in.,PIN MOUNT,,,,
4N15.2.28,1932.62ab,Epaulets,4 x 7 1/2 x 6 in.,PIN MOUNT,,,,
4N15.2.29,1945.41a,Revolver,11 1/4 in.,PIN MOUNT,,,,
4N15.2.30,1873.21,Flintlock pistol,14 in.,PIN MOUNT,,,,
4N15.2.31,1939.510a-c,Presentation revolver,"10 7/8""",PIN MOUNT,,,,
4N15.2.32,1946.70c,Hat,4 x 10 1/2 x 8 in.,PIN MOUNT,,,,
4N15.2.33,INV.12022cd,Pouch with first aid packet,Pouch: 3 1/4 x 5 in. Case: 4 x 2 1/8 in.,PIN MOUNT,,,,
4N15.2.34,1962.80ab,Navel bayonet and scabbard,17 1/4 x 4 3/4 x 1 1/4 in.,PIN MOUNT,,,,
4N16. WAR (WORK IN PROGRESS),,,,,,,,
4N16.1,1940.71,Osceola by Catlin,60 x 35 x 20 1/4 in.,PEDESTAL,MEZZ,,,
4N16.2,1871.8,Camp bed,27 3/4 x 78 x 34 1/2 in. ,NONE,NONE,,,
4N16.3,INV.5736,"""John Brown"" pike",81 x 4 1/4 in.,PIN WALL MOUNT,NONE,,,
4N16.4,1862.9,"Builder's half-model of the U.S.S. ""Monitor""", 14 1/2 x 98 x 12 in.,WALL MOUNT,NONE,,,
4N16.5,1939.158ab,Presentation sword and scabbard,36 7/8 x 4 3/4 x 1 1/2 in. ,PIN WALL MOUNT,NONE,,,
4N16.6,1946.89a-c,Civil Defense Volunteer Organization Uniform,see individual object records for dimensions,MANNEQUIN,NONE,,,
4N16.7,1950.86,Helmet,7 1/4 x 11 x 9 1/4 in.,PIN WALL MOUNT,NONE,,,
4N16.8,,WWII Honor Roll,35 1/2 x 30 1/4 x 1 3/4 in.,WALL MOUNT,NONE,,,
4N16.9,1860.7,Bullet Mold,Overall (bullet mold): 13 7/8 x 12 in. Framed: 22 × 20 1/4 in.,PIN WALL MOUNT,NONE,,,
4N16.10,,Medals,,PIN CLUTCHES,ANGLED PEDESTAL,,,
4N17. TEXTILES,,,,,,,,
4N17.02,2002.1.2884,Tobacco/cigar ribbon,7 x 3/4 in.,BACKBOARD BY CONSERVATOR,ANGLED SHELF,,,
4N17.03,2002.1.2905,Tobacco/cigar ribbon,8 1/4 x 7/8 in.,,,,,
4N17.04,2002.1.2911,Tobacco/cigar ribbon,10 1/2 x 7/8 in.,,,,,
4N17.05,2002.1.3660,Cigar box,23 x 9 1/2 x 3 3/4 in.,NONE,,,,
4N17.06,2002.1.4849,Tablecloth,37 3/4 x 37 1/8 in.,BACKBOARD BY CONSERVATOR,BOARDS ATTACHED TO BACK WALL,,,
4N17.07,2002.1.4850,Tablecloth,44 5/8 x 44 7/8 in.,BACKBOARD BY CONSERVATOR,,,,
4N18. DUTCH NY,,,,,,,,
4N18.1,1951.414b,Stained glass window,30 1/2 x 27 1/4 x 1 1/4 in.,WALL MOUNT,NONE,,,
4N18.5,1969.21a,Earthenware garniture,12 1/2 x 5 1/2 x 4 5/8 in.,AW,ON TOP OF KAST,,,
4N18.6,1969.21b,Earthenware garniture,12 3/4 x 5 1/2 x 4 1/2 in.,AW,,,,
4N18.7,1969.21c,Earthenware garniture,12 5/8 x 5 1/2 x 4 1/2 in.,AW,,,,
4N18.8,1969.21d,Earthenware garniture,9 x 5 3/8 x 4 3/4 in.,AW,,,,
4N18.9,1969.21e,Earthenware garniture,9 x 5 3/8 x 4 7/8 in.,AW,,,,
4N18.10,1941.914,Kast,87 x 88 1/2 x 29 in.,AW,RISER,,,
4N18.11,1974.22,Duyckinck portrait of Wilhelmina Ritzema  ,"Picture: 32 x 25 x 1 in. 
Frame: 39 x 32 in.",HANG ON WIRE,NONE,,,
4N18.12,L2010.1.1,Silver beaker,7 1/8 x 3 3/8 in.,AW,CASE,,,
4N18.13,1911.38,Brandywine bowl,5 3/4 x 12 3/8 x 8 3/4 in.,AW,PEDESTAL,,,
4N18.14,1963.154,Spoon,1/2 x 6 3/4 x 1 7/8 in.,METAL STAND,,,,
4N19. COLLECTING  *MOST OBJECTS HAVE NADELMAN MOUNTS THAT CAN BE ADAPTED.,,,,,,,,
4N19.1,INV.242,Trammel,48 1/2 x  10 1/2 x  2 3/4 in.,PIN WALL MOUNT,NONE,,,
4N19.2,INV.14867,Trivet,2 1/4 x  20 x  7 in.,PIN WALL MOUNT,NONE,,,
4N19.3,1937.1368,Trivet,3 7/8 x  11 5/8 x  4 1/2 in.,PIN WALL MOUNT,NONE,,,
4N19.4,Z.175,Jointer's plane,3 1/2 x  10 3/4 x  2 in.,PIN WALL MOUNT,NONE,,,
4N19.5,1937.694,Bowl,2 7/8 x  5 1/2 in.,NONE,WALL SHELF,,,
4N19.6,1937.703,Dish,1 1/2 x  10 1/4 in.,PIN WALL MOUNT,NONE,,,
4N19.7,1937.708,Dish,1 7/8 x  11 1/4 in.,PIN WALL MOUNT,NONE,,,
4N19.8,1937.910,Keg,18 x  11 1/2 in.,NONE,PEDESTAL,,,
4N19.10,INV.1030,Cookie board,13 1/4  x 7 1/4 x 7/8 in.,PIN WALL MOUNT,NONE,,,
4N19.11,1937.671,Figurine,7 3/8 x  3 1/2 in.,NONE,WALL SHELF,,,
4N19.12,1937.684,Figurine,5 1/8 x  2 1/4 x  5 5/8 in.,NONE,WALL SHELF,,,
4N19.14,INV.12855ab,Mustard pot,3 3/8 x  3 3/8 x  3 in.,NONE,WALL SHELF,,,
4N19.15,Z.2014,Bowl,5 x  10 in.,NONE,WALL SHELF,,,
4N19.16,INV.12630ab,Coffeepot and cover,11 1/4 x  9 x  6 in.,NONE,WALL SHELF,,,
4N19.18,1937.1117,Woodcarving (eagle),5 1/2 x  7 3/4 x  4 5/8 in.,NONE,WALL SHELF,,,
4N19.19,INV.7954,Woodcarving (eagle),12 1/2 x  17 1/8 x  10 in.,NONE,WALL SHELF,,,
4N19.20,INV.8707,Milliner's head,15 x  7 x  9 in.,NONE,WALL SHELF,,,
4N19.21,INV.8708,Milliner's head,13 1/2 x  8 1/4 x  8 1/2 in.,NONE,WALL SHELF,,,
4N19.22,INV.8709,Milliner's head,17 x  6 1/2 x  8 1/4 in.,NONE,RISER ON WALL SHELF,,,
4N19.23,1937.1104,Box,10 5/8 x  13 7/8 x  9 5/8 in.,NONE,L-SHELF,,,
4N19.24,1937.1286,Blanket chest,19 3/4 x 49 1/2 x 23 1/2 in.,NONE,RISER,,,
4N19.25,1937.1587,Marriage box (coffret de mariage),6 x  8 x  4 1/2 in.,NONE,L-SHELF,,,
4N19.26,INV.8523,Chest with drawers,10 1/4 x  15 1/4 x  10 in.,NONE,L-SHELF,,,
4N19.27,1937.957,Figured bottle,10 1/4 x  5 1/2 x  4 in.,NONE,WALL SHELF,,,
4N19.28,1937.1041,Bottle,8 1/2 x  3 1/2 in.,NONE,WALL SHELF,,,
4N19.29,1937.1403,Powder horn,3 x  4 3/4 x  14 in.,PIN WALL MOUNT,NONE,,,
4N19.30,1937.1486ab,Powder horn,1 3/4 x  6 1/4 x  10 3/4 in.,PIN WALL MOUNT,NONE,,,
4N19.31,1937.1352,Butter mold,4 1/4 x 7 x 3 1/2 in.,NONE,WALL SHELF,,,
4N19.32,1937.1746,Mangle board,26 5/8 x 5 1/4 in.,PIN WALL MOUNT,NONE,,,
4N19.37,1937.1557,Wind-up toy,8 x  7 in.,NONE,WALL SHELF,,,
4N19.38,INV.4539,Kakelorum,8 1/4 x  7 3/8 x  9 3/4 in.,NONE,WALL SHELF,,,
4N19.39,INV.7623ab,Balance toy,8 3/4 x  5 1/4 x  4 in.,NONE,WALL SHELF,,,
4N19.40,1938.323,Tobacco shop figure,46 3/4 x  13 x  10 1/4 in.,NONE,RISER,,,
4N19.41,1937.459,Painting,28 1/4 x 36 in.,HANG ON WIRE,NONE,,,
4N19.72,INV.1029,Cookie mold,1 x 13 x 5 in.,PIN WALL MOUNT,NONE,,,
4N19.73,INV.7581,Butter print,5 3/4 x 3 3/4 in.,NONE,WALL SHELF,,,
4N19.74,1937.1582,Butter print,1 x 9 3/8 x 4 1/2 in.,NONE,WALL SHELF,,,
4N19.75,INV.1042,Butter print,3 5/8 x 2 3/8 in.,NONE,WALL SHELF,,,
4N19.76,1937.1574,Butter print,6 3/4 x 4 1/4 x 3/4 in.,NONE,WALL SHELF,,,
4N19.77,1937.796,Jug,14 x 8 3/4 in.,NONE,RISER,,,
4N19.78,1937.1297,Slat-back high chair,37 1/2 x 14 1/2 x 16 in.,NONE,NONE,,,
HUTCH (WALL MOUNT),,,,,,,,
4N19.42,1937.414,Pitcher,11 x 9 3/8 x 7 1/4 in.,NONE,NONE,,,
4N19.45,1937.426,Plate,7/8 x 7 1/8 in.,NONE,NONE,,,
4N19.49,1937.430ab,Sugar bowl and cover,5 1/2 x 7 1/2 x 4 1/2 in.,NONE,NONE,,,
4N19.53,1937.436,Plate,7/8 x 9 3/4 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.54,1937.437,Soup plate,1 1/4 x 9 3/4 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.55,1937.439ab,Cup and Saucer,Cup: 2 3/8 x 3 5/8 in. Saucer: 1 1/4x 5 1/2in.,NONE,NONE,,,
4N19.56,1937.440ab,Cup and saucer,Cup: 2 3/8 x 3 5/8 in.Saucer: 1 1/4 x 5 5/8 in. ,NONE,NONE,,,
4N19.57,1937.442,Plate,7/8 x 7 5/8 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.58,1937.446,Soup plate,1 1/4 x 8 1/4 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.59,1937.448,Plate,3/4 x 10 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.60,1937.449,Plate,1 x 10 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.61,1937.1101ab,Cup and saucer,Cup: 2 1/8 x 3 1/4 in. Saucer: 1 1/8 x 5 3/8 in.,NONE,NONE,,,
4N19.63,1937.438,Dish,1 1/8 x  7 1/8 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.64,1937.416ab,Teapot with lid,6 1/4 x 10 x 6 in.,NONE,NONE,,,
4N19.65,1937.418ab,Teapot,5 1/2 x 8 1/2 x 5 1/2 in.,NONE,NONE,,,
4N19.66,1937.425ab,Cup and Saucer,Cup: 2 1/4 x 3 1/2 in. Saucer: 1 1/4 x 5 1/2 in.,NONE,NONE,,,
4N19.67,1937.421,Bowl,2 3/4 x 5 5/8 in.,NONE,NONE,,,
4N19.68,1937.433,Soup plate,1 1/2 x 9 7/8 in.,ACRYLIC PLATE STAND,NONE,,,
4N19.71,1937.415,Bowl,"5 1/8 x 12 7/8"" ",NONE,NONE,,,
4N20. CHILDHOOD,,,,,,,,
4N20.1,INV.14959,Baby walker,15 x 25 3/4 x 25 3/4 in.,NONE,RISER,,,
4N20.2,1956.101,Noah's ark,18 x 9 x 31 in.,ALL FIGURES ATTACHED TO PEDESTAL WITH MUSEUM WAX,RAMPED PEDESTAL,,,
4N20.3,1933.8,Doing Nothing,Paint: 14 x 12 in.  Framed: 21 1/2 x 19 1/2 x 3 in.,HANG ON WIRE,NONE,,,
4N20.4,1976.4,"Organ Man, N.Y.C",18 x 26 1/4 in.,HANG ON WIRE,NONE,,,
4N20.6,1946.201,The Rapalje Children,Painting: 50 3/4 x 40 in. Framed: 58 1/2 x 47 in.,HANG ON WIRE,NONE,,,
4N20.7,,Sesame street toy set,11 1/2 x 22 x 7 1/2 in.,NONE,PEDESTAL,,,
4N20.8,2003.90,Workbox school desk,"Closed: 24 x 22 x 22 in.
Open: 24 x 22 x 41 1/2 in.",NONE,RISER,,,
4N21. TOYS,,,,,,,,
4N21.1,INV.8772,Toy chest of drawers,10 x 13 x 5 3/4 in. ,TBD - MUSEUM WAX OR PINS IF REQUIRED,WALL SHELVES,,,
4N21.2,Z.286,Toy armchair,17 3/4 x 8 3/4 x 7 in. ,,,,,
4N21.3,Z.220,Miniature teapot,3 x 3 1/2 x 2 1/4 in. ,,,,,
4N21.4,Z.281,Steam pumper,7 1/2 x 15 x 4 in. ,,,,,
4N21.5,INV.8054,Bell toy (goat),7 3/4 x 9 x 3 3/4 in. ,,,,,
4N21.6,INV.7815,Pull toy (horse and cart), 7 1/2 x 15 x 3 7/8 in. ,,,,,
4N21.7,INV.8224,Pull toy (hill-climber duck), 7 x 8 1/2 x 4 in. ,,,,,
4N21.8,2007.18.1.3,One-horse sleigh,6 1/4 x 4 x 15 in. ,,,,,
4N21.9,2007.18.1.2,REO coupe,3 1/2 x 3 1/4 x 9 in. ,,,,,
